image_URL;image_ID;original_caption;UND_some;UND_locative;UND_demonstrative;UND_pronoun;UND_person;UND_full
./coco-images/images/COCO_train2014_000000196545.jpg;196545;A young woman in glasses is holding a hot dog.;NA;NA;A young woman in glasses is holding that.;NA;A person woman in glasses is holding a hot dog.;They are doing something here.
./coco-images/images/COCO_train2014_000000134599.jpg;134599;A person holding a green plastic knife getting ready to cut a white cake.;NA;NA;A person holding a green plastic knife getting ready to cut this.;NA;NA;They are doing something here.
./coco-images/images/COCO_train2014_000000196545.jpg;196545;A woman holds a hot dog with toppings while sitting on a bench.;NA;A woman holds a hot dog with toppings while sitting there.;A woman holds that while sitting on a bench.;They hold a hot dog with toppings while sitting on a bench.;A person holds a hot dog with toppings while sitting on a bench.;They are doing something here.
./coco-images/images/COCO_train2014_000000475999.jpg;475999;A large stack of brownies at a market.;Some brownies at a market.;A large stack of brownies there.;A large stack of this at a market.;NA;NA;They are doing something here.
./coco-images/images/COCO_train2014_000000134599.jpg;134599;A person is getting ready to cut a white cake.;NA;NA;A person is getting ready to cut this.;They are getting ready to cut a white cake.;NA;They are doing something here.
./coco-images/images/COCO_train2014_000000488127.jpg;488127;A soldier cuts a large American military-themed cake.;NA;NA;A soldier cuts this.;They cut a large American military-themed cake.;A person cuts a large American military-themed cake.;They are doing something here.
./coco-images/images/COCO_train2014_000000096222.jpg;96222;A man in a black t-shirt stands in front of a birthday cake in a kitchen.;NA;A man in a black t-shirt stands there.;A man in a black t-shirt stands in front of this in a kitchen.;NA;A person in a black t-shirt stands in front of a birthday cake in a kitchen.;They are doing something here.
./coco-images/images/COCO_train2014_000000266311.jpg;266311;A man doing a handstand trick on a skateboard near the beach and next to a group of parked bicycles.;A man doing a handstand trick on a skateboard near the beach and next to some parked bicycles.;A man doing a handstand trick on a skateboard there.;A man doing that on a skateboard near the beach and next to this.;NA;A person doing a handstand trick on a skateboard near the beach and next to a group of parked bicycles.;They are doing something here.
./coco-images/images/COCO_train2014_000000195449.jpg;195449;A dog riding on a motorcycle with a person;NA;NA;A dog riding on that with a person;NA;NA;They are doing something here.
./coco-images/images/COCO_train2014_000000449904.jpg;449904;A woman with glasses sitting at a table with a slice of pizza in front of her and a soft drink cup.;NA;A woman with glasses sitting there with a slice of pizza in front of her and a soft drink cup.;A woman with glasses sitting at a table with that in front of her and a soft drink cup.;NA;A person with glasses sitting at a table with a slice of pizza in front of them and a soft drink cup.;They are doing something here.
./coco-images/images/COCO_train2014_000000522288.jpg;522288;A small white dog is poses near a wine glass.;NA;NA;A small white dog is poses near this.;NA;NA;They are doing something here.
./coco-images/images/COCO_train2014_000000196545.jpg;196545;A woman sitting on a bench holding a hot dog;NA;A woman sitting there holding a hot dog;A woman sitting on a bench holding that;NA;A person sitting on a bench holding a hot dog;They are doing something here.
./coco-images/images/COCO_train2014_000000488127.jpg;488127;A soldier preparing to cut a large cake.;NA;NA;A soldier preparing to cut that.;NA;A person preparing to cut a large cake.;They are doing something here.
./coco-images/images/COCO_train2014_000000459209.jpg;459209;Two children are playing with letter magnets on a refrigerator.;Some children are playing with letter magnets on a refrigerator.;Two children are playing with letter magnets here.;Two children are playing with this on a refrigerator.;They are playing with letter magnets on a refrigerator.;Two people are playing with letter magnets on a refrigerator.;They are doing something here.
./coco-images/images/COCO_train2014_000000522288.jpg;522288;A dog with a wine glass being held to its face.;NA;NA;A dog with that being held to its face.;NA;NA;They are doing something here.
./coco-images/images/COCO_train2014_000000210266.jpg;210266;A man in a suit and tie holding an umbrella in an alley filled with them.;NA;A man in a suit and tie holding an umbrella there.;A man in a suit and tie holding this in an alley filled with them.;NA;A person in a suit and tie holding an umbrella in an alley filled with them.;They are doing something here.
./coco-images/images/COCO_train2014_000000122731.jpg;122731;A person wearing a neon safety vest holding an orange and green umbrella;NA;NA;A person wearing that holding this;NA;NA;They are doing something here.
./coco-images/images/COCO_train2014_000000029642.jpg;29642;A girl with long brown hair with streaks of red lays on a bed and looks at an open laptop computer.;NA;A girl with long brown hair with streaks of red lays there and looks at an open laptop computer.;A girl with long brown hair with that lays on a bed and looks at this.;NA;A person with long brown hair with streaks of red lays on a bed and looks at an open laptop computer.;They are doing something here.
./coco-images/images/COCO_train2014_000000096222.jpg;96222;A man posing with a birthday cake in a kitchen.;NA;A man posing with a birthday cake there.;A man posing with that in a kitchen.;NA;A person posing with a birthday cake in a kitchen.;They are doing something here.
./coco-images/images/COCO_train2014_000000195449.jpg;195449;A man riding on the back of a motorcycle with a large brown dog.;NA;NA;A man riding on that with a large brown dog.;NA;A person riding on the back of a motorcycle with a large brown dog.;They are doing something here.
./coco-images/images/COCO_train2014_000000195449.jpg;195449;A dog riding on a scooter with someone.;NA;NA;A dog riding on this with someone.;NA;NA;They are doing something here.
./coco-images/images/COCO_train2014_000000134599.jpg;134599;A white frosted cake in the middle of a table with someone holding a knife above it.;NA;A white frosted cake there with someone holding a knife above it.;A white frosted cake in the middle of this with someone holding that.;NA;NA;They are doing something here.
